data	dumb1	ore_di_luce	dumb2
11/06/2017	10,804167	14,849320	
12/06/2017	10,804167	14,858503	
13/06/2017	10,804167	14,866711	
14/06/2017	10,804167	14,873936	
15/06/2017	10,804167	14,880173	
16/06/2017	10,804167	14,885416	
17/06/2017	10,804167	14,889661	
18/06/2017	10,804167	14,892905	
19/06/2017	10,804167	14,895144	
20/06/2017	10,804167	14,896378	
21/06/2017	10,804167	14,896605	
22/06/2017	10,804167	14,895826	
23/06/2017	10,804167	14,894041	
24/06/2017	10,804167	14,891253	
25/06/2017	10,804167	14,887464	
26/06/2017	10,804167	14,882678	
27/06/2017	10,804167	14,876900	
28/06/2017	10,804167	14,870133	
29/06/2017	10,804167	14,862385	
30/06/2017	10,804167	14,853662	
01/07/2017	10,804167	14,843973	
02/07/2017	10,804167	14,833325	
03/07/2017	10,804167	14,821729	
04/07/2017	10,804167	14,809194	
05/07/2017	10,804167	14,795732	
06/07/2017	10,804167	14,781354	
07/07/2017	10,804167	14,766072	
08/07/2017	10,804167	14,749898	
09/07/2017	10,804167	14,732846	
10/07/2017	10,804167	14,714929	
11/07/2017	10,804167	14,696160	
12/07/2017	10,804167	14,676554	
13/07/2017	10,804167	14,656126	
14/07/2017	10,804167	14,634888	
15/07/2017	10,804167	14,612858	
16/07/2017	10,804167	14,590049	
17/07/2017	10,804167	14,566478	
18/07/2017	10,804167	14,542159	
19/07/2017	10,804167	14,517111	
20/07/2017	10,804167	14,491349	
21/07/2017	10,804167	14,464889	
22/07/2017	10,804167	14,437750	
23/07/2017	10,804167	14,409949	
24/07/2017	10,804167	14,381501	
25/07/2017	10,804167	14,352425	
26/07/2017	10,804167	14,322737	
27/07/2017	10,804167	14,292453	
28/07/2017	10,804167	14,261591	
29/07/2017	10,804167	14,230168	
30/07/2017	10,804167	14,198199	
31/07/2017	10,804167	14,165701	
01/08/2017	10,804167	14,132691	
02/08/2017	10,804167	14,099183	
03/08/2017	10,804167	14,065195	
04/08/2017	10,804167	14,030741	
05/08/2017	10,804167	13,995837	
06/08/2017	10,804167	13,960497	
07/08/2017	10,804167	13,924736	
08/08/2017	10,804167	13,888567	
09/08/2017	10,804167	13,852004	
10/08/2017	10,804167	13,815061	
11/08/2017	10,804167	13,777750	
12/08/2017	10,804167	13,740083	
13/08/2017	10,804167	13,702073	
14/08/2017	10,804167	13,663732	
15/08/2017	10,804167	13,625072	
16/08/2017	10,804167	13,586103	
17/08/2017	10,804167	13,546839	
18/08/2017	10,804167	13,507291	
19/08/2017	10,804167	13,467470	
20/08/2017	10,804167	13,427387	
21/08/2017	10,804167	13,387053	
22/08/2017	10,804167	13,346479	
23/08/2017	10,804167	13,305676	
24/08/2017	10,804167	13,264652	
25/08/2017	10,804167	13,223419	
26/08/2017	10,804167	13,181984	
27/08/2017	10,804167	13,140358	
28/08/2017	10,804167	13,098549	
29/08/2017	10,804167	13,056567	
30/08/2017	10,804167	13,014418	
31/08/2017	10,804167	12,972111	
01/09/2017	10,804167	12,929655	
02/09/2017	10,804167	12,887055	
